fileName,totalLines,maxLineWidth,wordCount
/home/home/Desktop/programming/c++/algorithms/numbers/NullptrChecker.h,8,49,15
/home/home/Desktop/programming/c++/algorithms/numbers/NumberChecker.h,38,99,98
/home/home/Desktop/programming/c++/algorithms/numbers/NumberSwapper.h,11,76,25
/home/home/Desktop/programming/c++/algorithms/numbers/PerfectNumberChecker/PerfectNumberChecker.h,21,80,27
/home/home/Desktop/programming/c++/algorithms/numbers/PrimeNumberChecker/PrimeNumberChecker.h,23,81,28
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/NumberFinder.h,105,142,241
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/NumberSearcher.h,27,115,57
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/BinarySearcher/src/BinarySearcher.h,21,90,35
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/JumpSearcher/src/JumpSearcher.h,20,115,29
/home/home/Desktop/programming/c++/algorithms/searchAlgorithms/LinearSearcher/src/LinearSearcher.h,19,103,23
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/NumberSorter.h,25,80,42
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/BubbleSorter/src/BubbleSorter.h,18,88,23
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/CombSorter/src/CombSorter.h,29,88,48
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/InsertionSorter/src/InsertionSorter.h,27,89,34
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/SelectionSorter/src/SelectionSorter.h,17,105,37
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/ShakeSorter/src/ShakeSorter.h,21,69,31
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/CountSorter/src/CountSorter.h,38,90,59
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/HeapSorter/src/HeapSorter.h,26,88,36
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/MergeSorter/src/MergeSorter.h,47,129,85
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/PigeonHoleSorter/src/PigeonSorter.h,36,96,51
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/QuickSorter/src/QuickSorter.h,24,88,32
/home/home/Desktop/programming/c++/algorithms/sortAlgorithms/fastSort/ShellSorter/src/ShellSorter.h,22,88,36
/home/home/Desktop/programming/c++/dataStructures/Deque/src/Deque.h,25,86,40
/home/home/Desktop/programming/c++/dataStructures/Queue/src/Queue.h,21,86,35
/home/home/Desktop/programming/c++/dataStructures/Stack/src/Stack.h,22,86,34
/home/home/Desktop/programming/c++/dataStructures/graph/Vertex.h,6,44,11
/home/home/Desktop/programming/c++/dataStructures/graph/Graph/src/Graph.h,54,90,70
