filePath,totalLines,wordCount,totalByteCount,maxLineWidth
/home/user/Desktop/programming/c++/MakeFile/SimpleMakeFileTest1/main.cpp,7,10,99,32
/home/user/Desktop/programming/c++/dataStructures/graph/isEdgeInGraph/main1.cpp,7,10,140,81
/home/user/Desktop/programming/c++/dataStructures/tree/DFS/main.cpp,6,7,118,77
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/tableCellCoordinates.h,6,9,75,28
/home/user/Desktop/programming/c++/dataStructures/graph/Vertex.h,6,9,89,44
/home/user/Desktop/programming/c++/dataStructures/graph/vertexConnection.h,6,11,125,29
/home/user/Desktop/programming/c++/dataStructures/graph/bfsPath/vertexAndChilds.h,6,9,85,31
/home/user/Desktop/programming/c++/dataStructures/graph/dijkstra/vertexConnection.h,6,11,125,29
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/activity/activity.h,5,9,65,16
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/item.h,5,9,60,15
/home/user/Desktop/programming/c++/algorithms/greedyAlgorithms/knapsack/itemPointer.h,5,13,112,45
/home/user/Desktop/programming/c++/algorithms/probabilisticAlgorithms/lasVegas/chessSquare.h,5,9,71,25
/home/user/Desktop/programming/c++/MakeFile/SimpleMakeFileTest2/student.cpp,4,8,96,50
/home/user/Desktop/programming/c++/algorithms/searchAlgorithms/NumberFinder.cpp,1,2,89,88
/home/user/Desktop/programming/c++/dataStructures/tree/NodeSearcher.h,0,0,0,0
